t,alt,ax,ay,az,gx,gy,gz,escPWM,rollDeg,pitchDeg
26856,-52.31,0.1179,-0.0049,0.8772,-0.3981,-1.0284,0.3499,1579,8.18,-8.18
26954,-52.60,0.0425,-0.0896,1.0703,0.0342,-0.5244,-0.1775,1579,8.18,-2.98
27052,-52.46,0.1799,0.0283,1.1316,0.3188,-0.1256,-0.3515,1579,8.18,5.77
27150,-52.45,0.1367,0.0757,1.0886,0.0470,0.1998,-0.1559,1579,5.12,7.88
27248,-52.42,0.0388,0.0989,0.9958,-0.6443,0.3718,0.1568,1579,-3.07,0.68
27346,-52.43,-0.0657,0.0205,0.8721,-1.5723,0.4259,0.7677,1579,-2.19,-6.17
27444,-52.58,-0.1558,-0.2559,0.8936,-1.9466,0.3240,1.2080,1579,4.92,-6.20
27543,-52.40,-0.2454,-1.7395,1.9999,-0.7541,0.6949,0.8929,1579,8.18,5.92
27642,-52.45,-0.3391,-0.4438,0.9033,0.9657,0.2210,-0.2810,1579,8.18,8.18
27740,-52.35,-0.3816,-0.3582,0.8835,1.8936,0.0238,-0.9848,1579,8.18,8.18
27838,-52.63,-0.0701,-0.0583,0.7822,2.0130,-0.2774,-1.0106,1579,8.18,8.18
27936,-52.48,-0.0225,0.1985,0.9092,1.1427,0.0941,-0.4085,1579,8.18,8.18
28034,-52.32,-0.1448,0.2104,0.9749,0.0929,0.1490,0.2238,1579,8.18,8.18
28132,-52.59,-0.2087,0.1157,0.9780,-0.2922,-0.0159,0.4511,1579,8.18,4.32
28230,-52.45,-0.1812,0.0564,0.9124,-0.1603,-0.1144,0.3713,1579,8.18,1.63
28328,-52.63,-0.1458,0.1086,0.8528,0.0977,-0.2052,0.1311,1579,8.18,8.18
28426,-52.49,-0.1865,0.1267,0.9187,0.1797,-0.4129,-0.0886,1579,8.18,8.18
28524,-52.37,0.0088,0.1702,0.9866,0.1395,-0.3738,0.0201,1579,8.18,8.18
28623,-52.44,0.0146,0.1794,1.0486,-0.0845,-0.3677,-0.0943,1579,8.18,8.18
28722,-52.50,0.0852,0.1658,1.0469,-0.2538,-0.3048,-0.1403,1579,8.18,8.18
28820,-52.71,0.1160,0.0991,1.0085,-0.3088,-0.2292,-0.1865,1579,8.18,8.18
28918,-52.72,-0.0142,0.0005,1.0996,-0.2392,0.1199,-0.1951,1579,7.03,8.18
29016,-52.49,0.1819,0.0564,0.8567,-0.1765,0.0793,-0.2767,1579,0.27,8.18
29114,-52.42,0.0850,0.0012,0.9792,-0.2389,0.2192,-0.2005,1579,-1.17,8.18
29212,-52.58,-0.0840,-0.0757,1.1165,-0.3254,0.0855,-0.1343,1579,1.31,4.83
29310,-52.47,0.0059,-0.2031,1.2883,0.0502,0.0910,-0.0191,1579,4.99,-1.70
29408,-52.45,0.0530,-0.0571,1.1672,0.2860,0.1609,0.0242,1579,8.18,-6.24
29506,-52.49,-0.0112,-0.0637,0.9685,-0.0127,0.0264,-0.0513,1579,8.18,-8.18
29604,-52.76,0.0244,0.0251,0.9971,0.0069,0.0234,0.0310,1579,8.18,-8.14
29703,-52.67,-0.0200,-0.0303,1.0259,-0.0099,-0.0089,0.0153,1579,8.18,-8.18
29802,-52.54,0.0161,0.0125,0.9985,-0.0031,0.0108,0.0021,1579,8.18,-8.18
29900,-52.47,0.0081,-0.0046,1.0066,0.0063,0.0011,-0.0012,1579,8.18,-7.91
29998,-52.56,0.0000,0.0005,1.0051,-0.0051,-0.0043,0.0004,1579,8.18,-7.60
30096,-52.60,0.0100,0.0056,0.9878,0.0028,0.0028,0.0015,1579,8.18,-7.51
30194,-52.55,0.0095,-0.0010,1.0002,0.0021,0.0012,0.0008,1579,8.18,-7.46
30292,-52.45,0.0056,0.0117,1.0017,-0.0048,-0.0021,-0.0008,1579,8.18,-7.37
30390,-52.71,0.0059,0.0017,1.0034,0.0007,0.0025,-0.0001,1579,8.18,-7.27
30488,-52.49,0.0056,-0.0073,1.0078,0.0025,0.0008,0.0008,1579,8.18,-7.21
30586,-52.63,-0.0068,0.0051,0.9961,0.0021,0.0031,-0.0011,1579,8.18,-7.17
30684,-52.77,0.0151,-0.0024,0.9924,-0.0039,-0.0024,0.0033,1579,8.18,-7.10
30783,-52.69,-0.0063,0.0029,0.9961,0.0036,0.0051,-0.0007,1579,8.18,-7.05
30882,-52.54,0.0071,-0.0046,1.0078,0.0025,0.0004,-0.0009,1579,8.18,-6.96
30980,-52.55,0.0022,0.0049,1.0032,0.0012,-0.0003,0.0012,1579,8.18,-6.87
31078,-52.60,0.0122,-0.0088,0.9963,0.0011,-0.0013,0.0005,1579,8.18,-6.84
